,target,params
37,-0.36859318988393724,"{'colsample_bytree': 0.7224103642841303, 'learning_rate': 0.18874684813687495, 'max_depth': 5.113951493912217, 'n_estimators': 2224.575730243119}"
38,-0.3687543976214028,"{'colsample_bytree': 0.38482081338369023, 'learning_rate': 0.04088104287208463, 'max_depth': 6.564627562082922, 'n_estimators': 18216.968418870794}"
39,-0.33036693299225284,"{'colsample_bytree': 0.8049300415408742, 'learning_rate': 0.08251398709037812, 'max_depth': 2.0958685362109932, 'n_estimators': 1495.7942600644035}"
40,-0.3039836426185954,"{'colsample_bytree': 0.9174640402742674, 'learning_rate': 0.11877438350681928, 'max_depth': 2.7148532446049902, 'n_estimators': 860.3199096992691}"
41,-0.2959200602941164,"{'colsample_bytree': 0.6292733282866734, 'learning_rate': 0.09071632736557306, 'max_depth': 3.6187191580326274, 'n_estimators': 861.3170823200378}"
42,-0.27451444612236886,"{'colsample_bytree': 0.35680972512093967, 'learning_rate': 0.08143943447277008, 'max_depth': 2.584249819454999, 'n_estimators': 860.1392444234059}"
43,-0.18817569515622462,"{'colsample_bytree': 0.8147449759445392, 'learning_rate': 0.08541117945606011, 'max_depth': 5.371701357819305, 'n_estimators': 177.37928012756697}"
44,-0.19070900212034778,"{'colsample_bytree': 0.3558934800859199, 'learning_rate': 0.017398475050852177, 'max_depth': 3.482319347384424, 'n_estimators': 858.420060912857}"
45,-0.24570989597558707,"{'colsample_bytree': 0.1650056371146026, 'learning_rate': 0.048018667887462695, 'max_depth': 4.840569555099035, 'n_estimators': 863.7663258148586}"
46,-0.21731415229131118,"{'colsample_bytree': 0.8461456821964277, 'learning_rate': 0.01584856807777819, 'max_depth': 6.288137686259615, 'n_estimators': 178.88657171161327}"
47,-0.2286694081673175,"{'colsample_bytree': 0.7674009751152004, 'learning_rate': 0.1596831335557725, 'max_depth': 5.410328583109278, 'n_estimators': 175.68249711882402}"
48,-0.3211854581879881,"{'colsample_bytree': 0.979184728306247, 'learning_rate': 0.12136856831637795, 'max_depth': 5.147109177173522, 'n_estimators': 863.5373624741763}"
