,target,params
0,-0.22512667364286781,"{'colsample_bytree': 0.7744970382863228, 'learning_rate': 0.19876149369173784, 'max_depth': 2.9252175916395053, 'n_estimators': 15881.721818757089}"
1,-0.22332490951929063,"{'colsample_bytree': 0.28981282532405717, 'learning_rate': 0.01610828991500396, 'max_depth': 5.810569836792417, 'n_estimators': 3885.5140392007766}"
2,-0.22512667732835281,"{'colsample_bytree': 0.6986638862905715, 'learning_rate': 0.14586656737756454, 'max_depth': 2.811092391829172, 'n_estimators': 11868.128509580596}"
3,-0.2251266727104826,"{'colsample_bytree': 0.7126413025493128, 'learning_rate': 0.163079090604501, 'max_depth': 2.94774463682647, 'n_estimators': 10349.676978385545}"
4,-0.22512667517360888,"{'colsample_bytree': 0.2601038176320116, 'learning_rate': 0.14848063333321443, 'max_depth': 5.723130452842783, 'n_estimators': 12117.641966088357}"
5,-0.22512669951461217,"{'colsample_bytree': 0.32139247666922566, 'learning_rate': 0.12831205876660742, 'max_depth': 2.77399732426433, 'n_estimators': 10336.698371158227}"
6,-0.22512680719649653,"{'colsample_bytree': 0.26847341992026164, 'learning_rate': 0.11877438220363208, 'max_depth': 4.928291226302114, 'n_estimators': 10065.311294006524}"
7,-0.22520295170536103,"{'colsample_bytree': 0.7911787683431329, 'learning_rate': 0.15794284017934412, 'max_depth': 4.563347223211849, 'n_estimators': 3268.627430674174}"
8,-0.225126670228828,"{'colsample_bytree': 0.9106968400347012, 'learning_rate': 0.16199804031744072, 'max_depth': 4.886471556830373, 'n_estimators': 9507.352017704461}"
9,-0.22589811009341934,"{'colsample_bytree': 0.26144829672758213, 'learning_rate': 0.04894371994293734, 'max_depth': 5.113281573039362, 'n_estimators': 5301.411774620034}"
10,-0.2112760066574959,"{'colsample_bytree': 0.674842946151463, 'learning_rate': 0.03935467027448756, 'max_depth': 1.9956322368466286, 'n_estimators': 4171.211462990049}"
11,-0.22458812944827558,"{'colsample_bytree': 0.5785701573307857, 'learning_rate': 0.13175740094892954, 'max_depth': 2.2975824733673083, 'n_estimators': 4298.971958309712}"
12,-0.21986791477359904,"{'colsample_bytree': 0.6260292185883989, 'learning_rate': 0.07116175663853654, 'max_depth': 2.3174461249118323, 'n_estimators': 4175.985009374366}"
13,-0.22505392237600114,"{'colsample_bytree': 0.58889257079814, 'learning_rate': 0.08092434293648056, 'max_depth': 3.365525080096467, 'n_estimators': 4169.097076335608}"
14,-0.22512668152970297,"{'colsample_bytree': 0.6599871120987765, 'learning_rate': 0.12248326702443871, 'max_depth': 9.107255287845598, 'n_estimators': 11854.388763579276}"
15,-0.2225694510012707,"{'colsample_bytree': 0.49427599874712136, 'learning_rate': 0.11885377163756689, 'max_depth': 4.270635469336037, 'n_estimators': 640.559760395801}"
16,-0.22515167602381592,"{'colsample_bytree': 0.792004275220957, 'learning_rate': 0.09165804810686237, 'max_depth': 8.143949371016333, 'n_estimators': 7135.948250926091}"
17,-0.22512669828976342,"{'colsample_bytree': 0.3685391804884083, 'learning_rate': 0.08765429981110123, 'max_depth': 6.394285526740326, 'n_estimators': 15667.796694236033}"
18,-0.22578253086750447,"{'colsample_bytree': 0.46550606329645416, 'learning_rate': 0.016335459382494498, 'max_depth': 5.2682028191368735, 'n_estimators': 19145.26958083186}"
19,-0.2254690159583678,"{'colsample_bytree': 0.7466205975080324, 'learning_rate': 0.13199427073174583, 'max_depth': 4.299880307920035, 'n_estimators': 2514.7928308956198}"
20,-0.2251975992083599,"{'colsample_bytree': 0.7957573574910368, 'learning_rate': 0.06974238844097665, 'max_depth': 3.315751223357575, 'n_estimators': 8036.164807022144}"
21,-0.22524094551602308,"{'colsample_bytree': 0.3255520812072553, 'learning_rate': 0.08994738666529718, 'max_depth': 3.3087030200789167, 'n_estimators': 5402.0172709770795}"
22,-0.22512667270509396,"{'colsample_bytree': 0.6295994703867837, 'learning_rate': 0.13574713776971198, 'max_depth': 7.408525408089161, 'n_estimators': 15849.25367148322}"
23,-0.22512711583198955,"{'colsample_bytree': 0.2783783992152222, 'learning_rate': 0.06686364602535452, 'max_depth': 3.348221189666462, 'n_estimators': 15959.690134474697}"
24,-0.2251639188381997,"{'colsample_bytree': 0.19194691104001108, 'learning_rate': 0.060732229606881585, 'max_depth': 6.263074863947172, 'n_estimators': 10155.168718142713}"
25,-0.22588311000270572,"{'colsample_bytree': 0.948312357491171, 'learning_rate': 0.010120435185468022, 'max_depth': 9.750949756812673, 'n_estimators': 10926.179323324117}"
26,-0.20980331059114218,"{'colsample_bytree': 0.17163272716168104, 'learning_rate': 0.15007626014207404, 'max_depth': 1.2148901100778018, 'n_estimators': 6272.914581518435}"
27,-0.2251266761294143,"{'colsample_bytree': 0.3276225472477088, 'learning_rate': 0.18182689251614825, 'max_depth': 7.5983815177090674, 'n_estimators': 14784.7462017764}"
28,-0.22462313770946238,"{'colsample_bytree': 0.31533369591503113, 'learning_rate': 0.07299546457437459, 'max_depth': 1.2420020900348998, 'n_estimators': 12646.206353247933}"
29,-0.2251266735089868,"{'colsample_bytree': 0.9912019531784393, 'learning_rate': 0.12456746708029606, 'max_depth': 3.739317007525456, 'n_estimators': 12556.22577109212}"
30,-0.22512667325153884,"{'colsample_bytree': 0.3525732753569587, 'learning_rate': 0.19342849053897423, 'max_depth': 9.049914951420881, 'n_estimators': 7836.083856018954}"
31,-0.22512704079128212,"{'colsample_bytree': 0.3312273667559563, 'learning_rate': 0.10801143034573507, 'max_depth': 4.1873045136771605, 'n_estimators': 10160.353257157805}"
