,target,params
37,-1.164138461130314,"{'colsample_bytree': 0.3036129381655499, 'learning_rate': 0.16390226220511936, 'max_depth': 1.9708839808862941, 'n_estimators': 2802.4971226704693}"
38,-1.0165166078628083,"{'colsample_bytree': 0.36274728972587944, 'learning_rate': 0.01375295111974883, 'max_depth': 7.24401221170895, 'n_estimators': 6179.384706896497}"
39,-1.0610114030955073,"{'colsample_bytree': 0.37875578188487524, 'learning_rate': 0.014659681846874148, 'max_depth': 9.402964243354406, 'n_estimators': 7644.187169777482}"
40,-1.1746686019310015,"{'colsample_bytree': 0.23132894748825392, 'learning_rate': 0.17083663060254176, 'max_depth': 6.622581761545275, 'n_estimators': 19578.2838152298}"
41,-1.1736064147633205,"{'colsample_bytree': 0.9906758214662658, 'learning_rate': 0.14329887118108756, 'max_depth': 5.248485458327661, 'n_estimators': 3718.373304802452}"
42,-1.1746686027218414,"{'colsample_bytree': 0.3045097971055183, 'learning_rate': 0.16440161041174814, 'max_depth': 5.859717503828487, 'n_estimators': 16450.555476359026}"
43,-1.1746648495827612,"{'colsample_bytree': 0.42813279465239484, 'learning_rate': 0.17605391320631245, 'max_depth': 8.19577306597009, 'n_estimators': 6179.359895803876}"
44,-1.1479000181736474,"{'colsample_bytree': 0.27800041011013, 'learning_rate': 0.15364752715514562, 'max_depth': 6.729220028866898, 'n_estimators': 1437.401749739804}"
45,-1.1746685744612226,"{'colsample_bytree': 0.3769365430393298, 'learning_rate': 0.1158305364993572, 'max_depth': 7.36923194721573, 'n_estimators': 13827.708303585834}"
46,-1.1746686022518493,"{'colsample_bytree': 0.6927263140958981, 'learning_rate': 0.17365653402999415, 'max_depth': 4.486721224060295, 'n_estimators': 13826.276375756726}"
47,-1.1746685987317063,"{'colsample_bytree': 0.652919930465605, 'learning_rate': 0.18374459054472095, 'max_depth': 5.576116236720792, 'n_estimators': 19468.34738647262}"
48,-1.174663178938253,"{'colsample_bytree': 0.22072310050100252, 'learning_rate': 0.05855083780355175, 'max_depth': 9.149506343457372, 'n_estimators': 19391.272101688108}"
49,-1.1351415562607936,"{'colsample_bytree': 0.7109097993306253, 'learning_rate': 0.012386926106648818, 'max_depth': 3.6489509371862794, 'n_estimators': 16224.849909668103}"
50,-1.1746675755154168,"{'colsample_bytree': 0.15988884523650554, 'learning_rate': 0.0717249212397101, 'max_depth': 3.014085263753893, 'n_estimators': 19730.278178182587}"
51,-1.174668593943613,"{'colsample_bytree': 0.2929508209537013, 'learning_rate': 0.15880742930476974, 'max_depth': 4.317881306284468, 'n_estimators': 15592.429976867685}"
52,-1.1576567850193817,"{'colsample_bytree': 0.7869883355011484, 'learning_rate': 0.053786952423196886, 'max_depth': 7.5336957447477975, 'n_estimators': 5170.303848030311}"
53,-1.1722643688405208,"{'colsample_bytree': 0.7324282974947853, 'learning_rate': 0.1495754911103676, 'max_depth': 5.847373042699355, 'n_estimators': 2984.3325987783046}"
54,-1.1741296833362527,"{'colsample_bytree': 0.6520903954354154, 'learning_rate': 0.12423360019188358, 'max_depth': 5.425153909423098, 'n_estimators': 4886.168458277319}"
55,-1.1337357260093275,"{'colsample_bytree': 0.22394716307183699, 'learning_rate': 0.017836369853364925, 'max_depth': 3.3443676989969338, 'n_estimators': 13039.826699833686}"
56,-1.1746482625853825,"{'colsample_bytree': 0.3290580874119874, 'learning_rate': 0.06640074713987847, 'max_depth': 7.089906519933678, 'n_estimators': 14827.709241978848}"
57,-1.1746684498065194,"{'colsample_bytree': 0.4957249951733186, 'learning_rate': 0.0883207262570007, 'max_depth': 8.504997222224466, 'n_estimators': 16886.842856563926}"
58,-1.03994582741004,"{'colsample_bytree': 0.47734829494975795, 'learning_rate': 0.19208496960853144, 'max_depth': 1.0226032902147568, 'n_estimators': 4253.872637620937}"
59,-1.079352966175288,"{'colsample_bytree': 0.49875432290361055, 'learning_rate': 0.1593632296093329, 'max_depth': 6.064138962705954, 'n_estimators': 720.0506483056106}"
60,-1.1574549071650828,"{'colsample_bytree': 0.6815882063533582, 'learning_rate': 0.0999664402937699, 'max_depth': 3.3472912728016917, 'n_estimators': 3054.309950734271}"
61,-1.1743743854613595,"{'colsample_bytree': 0.28611454520880675, 'learning_rate': 0.03707315293706296, 'max_depth': 4.718903265616296, 'n_estimators': 19029.924979577994}"
62,-1.137293180254422,"{'colsample_bytree': 0.8686939124846261, 'learning_rate': 0.1126414427651982, 'max_depth': 2.723052510682798, 'n_estimators': 2025.326405618957}"
63,-1.0606830228559398,"{'colsample_bytree': 0.9612477692521987, 'learning_rate': 0.07808566076925352, 'max_depth': 1.8068153714610717, 'n_estimators': 2382.923475983719}"
64,-1.174660113676204,"{'colsample_bytree': 0.41767011792783215, 'learning_rate': 0.0663659337516658, 'max_depth': 3.201059833592888, 'n_estimators': 17668.432580450888}"
65,-1.1746681012385871,"{'colsample_bytree': 0.16891989285207293, 'learning_rate': 0.14135413656017076, 'max_depth': 4.2849974918349085, 'n_estimators': 9404.696527961072}"
66,-1.1745675714057333,"{'colsample_bytree': 0.9287453729656547, 'learning_rate': 0.16094727635255318, 'max_depth': 8.319981004301042, 'n_estimators': 4743.441107498461}"
67,-1.1746686002013993,"{'colsample_bytree': 0.4003515033669305, 'learning_rate': 0.19017406030829334, 'max_depth': 8.439037051795813, 'n_estimators': 12543.081259536457}"
68,-1.1734820886465198,"{'colsample_bytree': 0.9041644215805724, 'learning_rate': 0.03179442039507851, 'max_depth': 7.867807830054368, 'n_estimators': 17543.04662256201}"
69,-1.174667425953535,"{'colsample_bytree': 0.6253654749695479, 'learning_rate': 0.1492162509320956, 'max_depth': 3.539226829340117, 'n_estimators': 8319.135566267214}"
70,-1.173172359019219,"{'colsample_bytree': 0.9753248851636818, 'learning_rate': 0.14097406620129188, 'max_depth': 2.4966935009006894, 'n_estimators': 5003.3789590360575}"
71,-1.1718377286908308,"{'colsample_bytree': 0.10272965860500173, 'learning_rate': 0.02850832344679511, 'max_depth': 2.677761920375287, 'n_estimators': 18504.962652253096}"
72,-1.152810293585972,"{'colsample_bytree': 0.6236582099841661, 'learning_rate': 0.050056275703265686, 'max_depth': 6.718496695403502, 'n_estimators': 5033.744547582176}"
73,-1.1742899375931644,"{'colsample_bytree': 0.7107640266162321, 'learning_rate': 0.16890880888855142, 'max_depth': 3.439371736183174, 'n_estimators': 4197.76287093521}"
74,-1.174650398458934,"{'colsample_bytree': 0.9882124019355187, 'learning_rate': 0.0560200203349591, 'max_depth': 6.321025872441285, 'n_estimators': 17984.733827857955}"
75,-1.1746656314292645,"{'colsample_bytree': 0.6686975471072799, 'learning_rate': 0.1609354931465175, 'max_depth': 3.055797663833019, 'n_estimators': 7663.3386723745825}"
76,-1.1746685989518562,"{'colsample_bytree': 0.9297230093545852, 'learning_rate': 0.13853645159954184, 'max_depth': 4.752513257415403, 'n_estimators': 16876.726956517956}"
77,-1.1446457463185769,"{'colsample_bytree': 0.18467799658329917, 'learning_rate': 0.042379166226495575, 'max_depth': 6.272203155026871, 'n_estimators': 5211.856494315281}"
78,-1.1746545748930923,"{'colsample_bytree': 0.47995170487277306, 'learning_rate': 0.08797415741591946, 'max_depth': 7.61431825951679, 'n_estimators': 11502.519919651846}"
79,-1.174668602060754,"{'colsample_bytree': 0.7729244438283629, 'learning_rate': 0.1366060575570467, 'max_depth': 3.9519974683858523, 'n_estimators': 14995.948422390129}"
80,-1.1746684525581452,"{'colsample_bytree': 0.901430354640783, 'learning_rate': 0.10292410841965142, 'max_depth': 1.8240635307995485, 'n_estimators': 18786.717668844518}"
81,-1.1588229693348742,"{'colsample_bytree': 0.7213860158887625, 'learning_rate': 0.05350806872594181, 'max_depth': 8.151814731723425, 'n_estimators': 5291.769906911251}"
82,-1.1746669663392946,"{'colsample_bytree': 0.37899169505683394, 'learning_rate': 0.0816852152016286, 'max_depth': 9.074365940583784, 'n_estimators': 15169.496317034476}"
83,-1.1746089064475111,"{'colsample_bytree': 0.3784624007036609, 'learning_rate': 0.1389934896949554, 'max_depth': 8.036450731048378, 'n_estimators': 5937.929390738203}"
84,-0.9297806949077069,"{'colsample_bytree': 0.9660521672000403, 'learning_rate': 0.14186754450373595, 'max_depth': 1.2672845224131715, 'n_estimators': 3119.8069076458883}"
85,-0.7511773689967114,"{'colsample_bytree': 0.9125080932847967, 'learning_rate': 0.05947550303977394, 'max_depth': 8.930633364630324, 'n_estimators': 426.2801360402439}"
86,-0.885601472833564,"{'colsample_bytree': 0.24077863599652605, 'learning_rate': 0.049496369168807945, 'max_depth': 4.902013823424389, 'n_estimators': 908.4945072455937}"
87,-0.7183764980502058,"{'colsample_bytree': 0.9039314142706699, 'learning_rate': 0.05138839504861887, 'max_depth': 7.812738449291244, 'n_estimators': 427.30053237317617}"
