,mean,std,sharpe,max_drawdown,mean_corr_with_cryus
prediction_target_alan_v4_20,0.010283784744087218,0.021727131148162306,0.47331535277067754,0.10001648172377808,0.6648468174308676
prediction_target_cyrus_v4_20,0.018921643867300966,0.020696033950678837,0.9142642456227865,0.051592972014349314,1.0
prediction_target_nomi_v4_20,0.0189348225576481,0.020710318394606544,0.914269988363828,0.03983886120389579,0.8248605090083109
prediction_target_victor_v4_20,0.01817619104049716,0.01877585168748551,0.9680621333737933,0.05553537470912273,0.8290006466190993
