,mean,std,sharpe,max_drawdown
prediction_target_alan_v4_20,0.010283784744087218,0.021727131148162306,0.47331535277067754,0.10001648172377808
prediction_target_cyrus_v4_20,0.018921643867300966,0.020696033950678837,0.9142642456227865,0.051592972014349314
prediction_target_nomi_v4_20,0.0189348225576481,0.020710318394606544,0.914269988363828,0.03983886120389579
prediction_target_victor_v4_20,0.01817619104049716,0.01877585168748551,0.9680621333737933,0.05553537470912273
ensemble,0.018644353511472696,0.02030591185377182,0.9181736651737464,0.05821380121945685
