,mean,std,sharpe,max_drawdown,mean_corr_with_cryus
prediction_target_alan_v4_20,0.010673784419873626,0.02136717362363218,0.4995412405910521,0.10001648172377808,0.6648823677736507
prediction_target_george_v4_20,0.006197161636110003,0.011775395597608753,0.5262805469880324,0.06412290446994695,0.6646122089053453
prediction_target_cyrus_v4_20,0.019077934530577764,0.02070452771329086,0.9214378031106241,0.050978282972050426,1.0
prediction_target_nomi_v4_20,0.01909399450698924,0.02071613512824247,0.9216967541864625,0.03924438198960356,0.8248088253797404
prediction_target_victor_v4_20,0.018402134158705116,0.018678634878437204,0.9851969524790442,0.04599835083482828,0.8289496852289098
