,mean,std,sharpe,max_drawdown
prediction_target_alan_v4_20,0.010673784419873626,0.02136717362363218,0.4995412405910521,0.10001648172377808
prediction_target_george_v4_20,0.006197161636110003,0.011775395597608753,0.5262805469880324,0.06412290446994695
prediction_target_cyrus_v4_20,0.019077934530577764,0.02070452771329086,0.9214378031106241,0.050978282972050426
prediction_target_nomi_v4_20,0.01909399450698924,0.02071613512824247,0.9216967541864625,0.03924438198960356
prediction_target_victor_v4_20,0.018402134158705116,0.018678634878437204,0.9851969524790442,0.04599835083482828
ensemble,0.017501911969500062,0.019245907262720085,0.9093835759773095,0.05270739207940167
