,mean,std,sharpe,max_drawdown
prediction_target_cyrus_v4_20,0.012700211600928591,0.020945650122079187,0.606341246364135,0.07095512133514248
prediction_target_nomi_v4_20,0.012151125807650903,0.02159010106637365,0.5628100475442493,0.0848250629696301
prediction_target_victor_v4_20,0.011023823260710396,0.018689935750657218,0.5898267071529527,0.08345534286085732
prediction_target_ralph_v4_20,0.011809235382782765,0.020510468168144,0.5757662519436965,0.07483525742501251
prediction_target_bravo_v4_20,0.01288411876676913,0.019735943113496558,0.6528250863247695,0.0557446347877526
prediction_target_alan_v4_20,0.004683471285407721,0.020428792301343885,0.2292583534220779,0.1306541912032277
prediction_target_george_v4_20,0.003688656155723527,0.010776630204368158,0.3422828923115856,0.06810825776561386
ensemble,0.012426267199254696,0.0204290091278833,0.6082657813439536,0.08396201573725404
