,mean,std,sharpe,max_drawdown,mean_corr_with_cryus
prediction_target_cyrus_v4_20,0.01355048338393319,0.020596895291832746,0.6578896086977896,0.06997496310628737,1.0
prediction_target_nomi_v4_20,0.01291286768347428,0.021488330454382868,0.6009246605215207,0.08818028792003352,0.8248974328749535
prediction_target_victor_v4_20,0.011865645234584072,0.018797266701274462,0.6312431175847272,0.07844120799161991,0.8290244462647671
prediction_target_alan_v4_20,0.005280916019162658,0.02019940083236781,0.2614392408462157,0.11400369681754519,0.6647814762420806
prediction_target_george_v4_20,0.004314074496945573,0.011233750346856267,0.38402798386496584,0.06965510250308282,0.6652361290442297
