,mean,std,sharpe,max_drawdown
prediction_target_cyrus_v4_20,0.01355048338393319,0.020596895291832746,0.6578896086977896,0.06997496310628737
prediction_target_nomi_v4_20,0.01291286768347428,0.021488330454382868,0.6009246605215207,0.08818028792003352
prediction_target_victor_v4_20,0.011865645234584072,0.018797266701274462,0.6312431175847272,0.07844120799161991
prediction_target_ralph_v4_20,0.01268569725522413,0.020242986816430157,0.6266712205200777,0.06314450624251511
prediction_target_bravo_v4_20,0.013567381390942618,0.019733788832545566,0.6875203492887731,0.057030294947638005
prediction_target_alan_v4_20,0.005280916019162658,0.02019940083236781,0.2614392408462157,0.11400369681754519
prediction_target_george_v4_20,0.004314074496945573,0.011233750346856267,0.38402798386496584,0.06965510250308282
ensemble,0.013145372489199534,0.02022578320558354,0.6499314442157481,0.08133926599854258
