,mean,std,sharpe,max_drawdown
prediction_target_alan_v4_20,0.010437500430906544,0.021400874490226807,0.4877137350472787,0.10205051954421362
prediction_target_cyrus_v4_20,0.018919515934226076,0.02195474753418738,0.8617505578128414,0.1049931147499299
prediction_target_nomi_v4_20,0.018316550439007557,0.022151679888890656,0.8268695887120298,0.0897079918317698
prediction_target_victor_v4_20,0.018829494954482974,0.019603387288236296,0.9605225197883163,0.10334200075653222
ensemble,0.018560222957522937,0.02127325532509316,0.8724674561504451,0.1096493101155902
