,mean,std,sharpe,max_drawdown
prediction_target_cyrus_v4_20,0.019077934530577764,0.02070452771329086,0.9214378031106241,0.050978282972050426
prediction_target_nomi_v4_20,0.01909399450698924,0.02071613512824247,0.9216967541864625,0.03924438198960356
prediction_target_victor_v4_20,0.018402134158705116,0.018678634878437204,0.9851969524790442,0.04599835083482828
ensemble,0.01978542897557762,0.020225651218987315,0.9782344588738667,0.04596315892271141
