,mean,std,sharpe,max_drawdown
prediction_target_cyrus_v4_20,0.01370369697631503,0.02058994853432708,0.6655527551935619,0.06997496310628737
prediction_target_nomi_v4_20,0.012957028217055435,0.021410102906514072,0.6051829023723763,0.08818028792003352
prediction_target_victor_v4_20,0.01191240893563131,0.018731227699456135,0.6359651981582173,0.07844120799161991
prediction_target_ralph_v4_20,0.012784566622874666,0.02019500223297001,0.6330559648071147,0.06314450624251511
prediction_target_bravo_v4_20,0.013570627915732287,0.019656587157188824,0.6903857626561193,0.057030294947638005
prediction_target_alan_v4_20,0.00549577828094861,0.020267796074185558,0.2711581595173244,0.11400369681754519
ensemble,0.01332469251425656,0.02016704415790483,0.6607161867612469,0.08197142266533985
