,mean,std,sharpe,max_drawdown
prediction_target_cyrus_v4_20,0.012700211600928591,0.020945650122079187,0.606341246364135,0.07095512133514248
prediction_target_nomi_v4_20,0.012151125807650903,0.02159010106637365,0.5628100475442493,0.0848250629696301
prediction_target_victor_v4_20,0.011023823260710396,0.018689935750657218,0.5898267071529527,0.08345534286085732
prediction_target_alan_v4_20,0.004683471285407721,0.020428792301343885,0.2292583534220779,0.1306541912032277
prediction_target_george_v4_20,0.003688656155723527,0.010776630204368158,0.3422828923115856,0.06810825776561386
ensemble,0.011664624865781873,0.019816764156068527,0.5886240949287269,0.08476211168650605
