,mean,std,sharpe,max_drawdown
prediction_target_alan_v4_20,0.00995361295701271,0.021958286764507978,0.45329642807566917,0.11307160793758064
prediction_target_cyrus_v4_20,0.018551245987405922,0.021032121216493945,0.8820435084245114,0.0797118588937189
prediction_target_nomi_v4_20,0.01853608986490792,0.02111171779127914,0.8780000778792542,0.07154309062425046
prediction_target_victor_v4_20,0.017782080258385104,0.01922136282758446,0.9251206804580031,0.0874112529968567
ensemble,0.018179324592529286,0.020893099008336975,0.8701114461418666,0.09862812041379732
