,mean,std,sharpe,max_drawdown,mean_corr_with_cryus
prediction_target_delta_v4_20,0.016771412945993405,0.019398933682191005,0.8645533419906596,0.03731012668449596,0.8091664324001443
prediction_target_thomas_v4_20,0.012426711470849547,0.019886380179119163,0.6248855427141878,0.09377278660189836,0.7907239662952252
prediction_target_ben_v4_20,0.01211537718802967,0.01971700713122215,0.6144632959453976,0.09471105008786385,0.7460988592972208
prediction_target_cyrus_v4_20,0.019077934530577764,0.02070452771329086,0.9214378031106241,0.050978282972050426,1.0
