,mean,std,sharpe,max_drawdown
prediction_target_cyrus_v4_20,0.012837095911621205,0.020920424112949688,0.6136154717664197,0.07095512133514248
prediction_target_nomi_v4_20,0.012251670656974497,0.021534997465392135,0.5689190665874733,0.0848250629696301
prediction_target_victor_v4_20,0.011145398235549046,0.018666952015223972,0.5970657784119943,0.08345534286085732
prediction_target_ralph_v4_20,0.011929090329777271,0.020474511365914667,0.5826312587677405,0.07483525742501251
prediction_target_bravo_v4_20,0.01298666055161356,0.0196922918787311,0.6594793857204585,0.0557446347877526
prediction_target_alan_v4_20,0.0049136201527493865,0.02051412723724229,0.23952372411091294,0.1306541912032277
prediction_target_george_v4_20,0.0037166205445768336,0.010738780222702197,0.34609336139683294,0.06810825776561386
ensemble,0.012549633902130703,0.020396232824024488,0.6152917556103122,0.08396201573725404
