iter	Passed	Remaining
354	697047	5193496
355	699060	5191899
356	700988	5189670
357	702865	5187069
358	704708	5184222
359	706830	5183421
360	708872	5182037
361	711001	5181276
362	713270	5181525
363	715412	5180845
364	717403	5179064
365	719561	5178481
366	721532	5176552
367	723667	5175795
368	725619	5173726
369	727665	5172327
370	729440	5168998
371	731287	5166189
372	733191	5163791
373	735201	5162137
374	737232	5160629
375	739175	5158501
376	741079	5156107
377	743172	5155019
378	745241	5153766
379	747081	5150927
380	749013	5148730
381	751146	5147911
382	752928	5144686
383	754954	5143124
384	757090	5142316
385	758975	5139799
386	760947	5137870
387	762756	5134845
388	764806	5133441
389	766877	5132180
390	768791	5129867
391	770744	5127807
392	772631	5125319
393	774651	5123711
394	776656	5122000
395	778598	5119876
396	780465	5117258
397	782305	5114468
398	784268	5112486
399	786116	5109757
400	787841	5106232
401	789550	5102616
402	791369	5099719
403	793267	5097331
404	795048	5094200
405	796909	5091586
406	798757	5088887
407	800537	5085767
408	802392	5083124
409	804235	5080414
410	805999	5077210
411	807961	5075253
412	809692	5071850
413	811530	5069125
414	813285	5065886
415	815093	5062985
416	816768	5059264
417	818777	5057614
418	820629	5055000
419	822512	5052579
420	824481	5050680
421	826625	5049858
422	828429	5046960
423	830192	5043811
424	832046	5041222
425	833962	5039011
426	835926	5037093
427	837815	5034723
428	839834	5033131
429	841612	5030103
430	843444	5027396
431	845240	5024485
432	847019	5021476
433	848810	5018544
434	850684	5016105
435	852643	5014167
436	854582	5012117
437	856486	5009860
438	858292	5007031
439	860103	5004239
440	861838	5001009
441	863555	4997678
442	865344	4994778
443	867260	4992609
444	869101	4990007
445	870993	4987704
446	872720	4984465
447	874603	4982116
448	876508	4979897
449	878306	4977068
450	880257	4975111
451	882294	4973643
452	884395	4972526
453	887397	4976465
454	889566	4975706
455	891766	4975117
456	893802	4973608
457	895808	4971933
458	897836	4970376
459	899825	4968603
460	901881	4967192
461	903738	4964692
462	905680	4962660
463	907689	4960994
464	909775	4959741
465	911729	4957773
466	913814	4956516
467	915817	4954805
468	917792	4952950
469	919776	4951139
470	921685	4948922
471	923591	4946691
472	925525	4944614
473	927452	4942502
474	929415	4940575
475	931378	4938654
476	933547	4937820
477	935514	4935914
478	937586	4934564
479	939569	4932738
480	941686	4931619
481	943766	4930296
482	945863	4929065
483	948116	4928638
484	950119	4926908
485	952171	4925430
486	954309	4924395
487	956230	4922235
488	958209	4920377
489	960021	4917660
490	961839	4914982
491	963774	4912900
492	965658	4910558
493	967494	4907976
494	969431	4905910
495	971594	4904985
496	973556	4903042
497	975596	4901488
498	977769	4900606
499	979732	4898664
500	981536	4895928
501	983190	4892448
502	985040	4889953
503	986970	4887851
504	988887	4885691
505	990706	4883045
506	992809	4881803
507	994585	4878951
508	996445	4876512
509	998306	4874087
510	1000076	4871216
511	1002162	4869883
512	1004110	4867882
513	1006188	4866508
514	1008196	4864791
515	1010111	4862631
516	1012093	4860787
517	1014025	4858707
518	1015865	4856187
519	1018091	4855513
520	1020045	4853537
521	1021809	4850659
522	1023677	4848277
523	1025632	4846307
524	1027678	4844768
525	1029599	4842640
526	1031582	4840804
527	1033408	4838232
528	1035269	4835825
529	1037233	4833899
530	1039173	4831863
531	1041080	4829676
532	1042942	4827276
533	1044698	4824396
534	1046607	4822219
535	1048529	4820103
536	1050517	4818294
537	1052287	4815488
538	1054026	4812538
539	1055949	4810434
540	1057814	4808069
541	1059745	4806006
542	1061485	4803073
543	1063284	4800418
544	1065265	4798580
545	1067295	4796965
546	1069240	4794966
547	1071106	4792613
548	1073221	4791375
549	1075024	4788744
550	1077084	4787260
551	1078983	4785057
552	1080772	4782370
553	1082803	4780755
554	1084901	4779430
555	1087040	4778285
556	1089059	4776612
557	1090954	4774390
558	1092854	4772197
559	1094901	4770641
560	1096839	4768612
561	1099034	4767696
562	1100980	4765699
563	1102946	4763791
564	1104730	4761095
565	1106569	4758641
566	1108525	4756686
567	1110443	4754573
568	1112316	4752271
569	1114252	4750232
570	1116011	4747445
571	1117955	4745449
572	1119772	4742909
573	1121774	4741159
574	1123802	4739513
575	1125926	4738271
576	1127992	4736785
577	1129933	4734772
578	1132192	4734088
579	1134056	4731753
580	1136374	4731307
581	1138152	4728613
582	1140115	4726688
583	1142098	4724846
584	1144209	4723532
585	1146098	4721299
586	1147988	4719075
587	1149856	4716758
588	1151655	4714160
589	1153392	4711313
590	1155281	4709093
591	1156997	4706164
592	1158886	4703947
593	1160872	4702121
594	1162595	4699228
595	1164519	4697153
596	1166615	4695774
597	1168628	4694057
598	1170451	4691576
599	1172278	4689114
600	1174189	4686991
601	1176116	4684929
602	1178021	4682781
603	1180003	4680940
604	1182031	4679282
605	1183888	4676944
606	1186883	4679099
607	1189391	4679316
608	1191395	4677547
609	1193545	4676349
610	1195586	4674724
611	1197582	4672921
612	1199841	4672138
613	1202167	4671616
614	1204480	4671032
615	1206596	4669685
616	1208701	4668292
617	1210701	4666491
618	1212706	4664709
619	1214761	4663115
620	1216760	4661311
621	1218614	4658948
622	1220455	4656538
623	1222541	4655061
624	1224563	4653342
625	1226442	4651075
626	1228350	4648924
627	1230154	4646379
628	1232237	4644890
629	1234050	4642380
630	1236035	4640518
631	1238029	4638691
632	1239926	4636501
633	1241709	4633887
634	1243752	4632242
635	1245821	4630695
636	1247779	4628734
637	1249572	4626162
638	1251379	4623642
639	1253609	4622683
640	1255510	4620514
641	1257499	4618665
642	1259406	4616517
643	1261414	4614741
644	1263294	4612495
645	1265114	4610031
646	1267268	4608785
647	1269119	4606433
648	1271193	4604893
649	1273083	4602686
650	1274940	4600360
651	1276755	4597885
652	1278633	4595638
653	1280506	4593376
654	1282341	4590979
655	1284365	4589256
656	1286128	4586604
657	1287960	4584198
658	1289786	4581774
659	1291640	4579453
660	1293572	4577405
661	1295551	4575528
662	1297686	4574198
663	1299641	4572231
664	1301612	4570323
665	1303757	4569022
666	1305885	4567663
667	1307762	4565421
668	1309696	4563380
669	1311640	4561377
670	1313459	4558937
671	1315279	4556504
672	1317361	4554977
673	1319466	4553528
674	1321581	4552112
675	1323733	4550824
676	1325940	4549719
677	1327699	4547077
678	1329581	4544857
679	1331897	4544120
680	1333752	4541807
681	1335598	4539466
682	1337482	4537257
683	1339445	4535315
684	1341385	4533295
685	1343308	4531218
686	1345439	4529841
