iter	Passed	Remaining
419	2618	9851
420	2627	9853
421	2634	9851
422	2640	9845
423	2649	9847
424	2656	9845
425	2657	9819
426	2663	9812
427	2671	9813
428	2680	9816
429	2687	9813
430	2689	9789
431	2695	9785
432	2702	9778
433	2708	9773
434	2714	9766
435	2722	9765
436	2727	9756
437	2733	9748
438	2741	9747
439	2741	9721
440	2748	9715
441	2750	9693
442	2751	9670
443	2752	9646
444	2753	9621
445	2761	9621
446	2768	9617
447	2776	9616
448	2783	9615
449	2789	9608
450	2796	9605
451	2803	9599
452	2803	9574
453	2810	9570
454	2816	9564
455	2821	9552
456	2822	9530
457	2831	9533
458	2838	9530
459	2846	9529
460	2853	9525
461	2854	9502
462	2861	9500
463	2862	9476
464	2870	9474
465	2878	9475
466	2883	9464
467	2883	9440
468	2887	9425
469	2895	9425
470	2901	9420
471	2908	9414
472	2909	9393
473	2910	9369
474	2911	9347
475	2918	9344
476	2925	9340
477	2931	9334
478	2938	9331
479	2945	9327
480	2951	9319
481	2952	9296
482	2954	9279
483	2960	9273
484	2962	9252
485	2962	9229
486	2968	9223
487	2975	9218
488	2976	9198
489	2983	9193
490	2986	9177
491	2992	9172
492	2999	9167
493	3005	9163
494	3013	9162
495	3020	9159
496	3028	9159
497	3029	9137
498	3037	9136
499	3038	9116
500	3040	9095
501	3041	9074
502	3047	9070
503	3054	9065
504	3060	9060
505	3067	9057
506	3073	9051
507	3079	9045
508	3087	9043
509	3094	9041
510	3101	9037
511	3107	9031
512	3109	9012
513	3110	8991
514	3110	8970
515	3113	8953
516	3120	8950
517	3128	8949
518	3135	8946
519	3136	8925
520	3137	8905
521	3143	8899
522	3144	8880
523	3150	8874
524	3157	8871
525	3165	8870
526	3172	8866
527	3179	8862
528	3181	8847
529	3187	8841
530	3195	8838
531	3202	8835
532	3203	8816
533	3204	8798
534	3211	8794
535	3218	8791
536	3226	8790
537	3234	8788
538	3241	8787
539	3250	8787
540	3250	8767
541	3252	8750
542	3253	8730
543	3261	8728
544	3262	8709
545	3268	8703
546	3276	8704
547	3287	8710
548	3293	8703
549	3300	8700
550	3306	8696
551	3307	8677
552	3313	8670
553	3319	8665
554	3327	8662
555	3334	8659
556	3341	8657
557	3342	8638
558	3350	8637
559	3353	8622
560	3354	8604
561	3355	8585
562	3362	8583
563	3364	8565
564	3371	8563
565	3377	8557
566	3385	8555
567	3386	8537
568	3392	8532
569	3399	8527
570	3401	8513
571	3408	8510
572	3415	8505
573	3423	8505
574	3432	8505
575	3434	8491
576	3441	8488
577	3454	8499
578	3462	8496
579	3468	8493
580	3476	8490
581	3483	8486
582	3490	8482
583	3496	8477
584	3503	8474
585	3510	8470
586	3516	8464
587	3522	8458
588	3529	8455
589	3536	8452
590	3544	8449
591	3552	8450
592	3562	8452
593	3570	8451
594	3580	8454
595	3590	8457
596	3597	8454
597	3598	8437
598	3606	8434
599	3610	8424
600	3622	8431
601	3629	8428
602	3637	8426
603	3644	8422
