,feature_importance,feature_names
73,1.1139393013551608,feature_fribble_gusseted_stickjaw
1027,1.0354338771571165,feature_humpbacked_tribrachic_cosmotron
727,0.5745879416427438,feature_distressed_bloated_disquietude
838,0.5081970590014929,feature_censorial_leachier_rickshaw
180,0.5074917243447871,feature_undependable_stedfast_donegal
1053,0.45744489086500856,feature_genic_knobbed_malacologist
122,0.44283978165603954,feature_peckish_impetrative_kanpur
943,0.421164868108636,feature_intromittent_evasive_swordcraft
374,0.4063384128268797,feature_defective_sectional_stenotype
772,0.4018541867158502,feature_instructional_desensitized_symmetallism
796,0.39731722991966223,feature_acclimatisable_unfeigned_maghreb
627,0.3813723202536044,feature_undisguised_unenviable_stamen
641,0.36084688890863925,feature_relinquished_incognizable_batholith
1056,0.34563580265797095,feature_eighteen_kafka_segno
773,0.3259466517419521,feature_disarrayed_rarefactive_trisulphide
2,0.3127153126926498,feature_untidy_withdrawn_bargeman
1059,0.3126816221758228,feature_crispy_neighboring_jeffersonian
1154,0.30645201598781113,feature_herniated_exasperate_victorian
815,0.3041751670783442,feature_vendean_thwartwise_resistant
266,0.2966502332447313,feature_kingly_gemmological_electrodynamometer
431,0.29486066411973544,feature_doggone_seeable_mask
837,0.29041910903743134,feature_idled_unwieldy_improvement
836,0.290197333854147,feature_cragged_sacred_malabo
637,0.28820550133968204,feature_gubernacular_liguloid_frankie
208,0.28427617282866785,feature_unsustaining_chewier_adnoun
376,0.28286886894728847,feature_woodier_slimmest_supplanter
817,0.2823055544525778,feature_virescent_telugu_neighbour
608,0.26975030980933073,feature_satisfied_aymaran_enterotomy
628,0.26661416633045976,feature_trisomic_hagiographic_fragrance
207,0.2563843847131773,feature_incertain_catchable_zibet
1052,0.2527928507174075,feature_exhibitionist_bicuspidate_goalpost
1050,0.24891203097001707,feature_suppressed_unremovable_telephone
1084,0.24804217571079024,feature_elaborate_burning_drunkard
756,0.247572540282204,feature_thoughtful_accommodable_lack
767,0.24645094520541921,feature_protonematal_springtime_varioloid
695,0.2431492468149861,feature_snatchy_xylic_institution
142,0.2394533432170489,feature_pansophical_agitato_theatricality
824,0.238807606959368,feature_antarthritic_syzygial_wonderland
823,0.23551012087744067,feature_queenliest_childing_ritual
1045,0.23474621392649633,feature_exoergic_zoomorphic_burin
766,0.23349334582784573,feature_dexter_unstifled_snoring
463,0.23229363807382103,feature_fremd_cricoid_gibberellin
143,0.23194304055523637,feature_recreational_homiletic_nubian
982,0.2317476838961943,feature_promised_intramolecular_sora
1048,0.23075805928695184,feature_steric_coxcombic_relinquishment
563,0.22878609386477622,feature_godliest_consistorian_woodpecker
1051,0.22583808727035978,feature_immovable_apiarian_joke
1155,0.22550182244016934,feature_domanial_shellproof_rationing
196,0.22399369342564238,feature_narcotized_collectivist_evzone
845,0.22357852960910676,feature_jangly_weedier_bhang
791,0.22143726277096393,feature_entopic_interpreted_subsidiary
547,0.218177266518106,feature_cauline_herpetic_videocassette
437,0.21789610190603645,feature_smuggest_galvanic_memorial
650,0.21667193110043387,feature_unimaginable_sec_kaka
694,0.21477035794574775,feature_smaller_colored_immurement
1129,0.21293356819085538,feature_pulverable_unpolitical_bathometer
11,0.21070175727078286,feature_styloid_subdermal_cytotoxin
939,0.20963709811841513,feature_iffy_pretty_gumming
1085,0.2095445989202852,feature_pardonable_ungraceful_bedazzlement
663,0.2075874597671947,feature_tottery_unmetalled_codder
1055,0.20620586707769595,feature_driven_preserving_spectroheliogram
586,0.2060337362442949,feature_imitable_unnatural_samuel
1153,0.20550959113435582,feature_terroristic_tripersonal_pashm
59,0.20388046311572824,feature_spikier_ordinate_taira
640,0.2010396938494115,feature_unreaving_intensive_docudrama
1106,0.2008769873607183,feature_directive_bioplasmic_skua
812,0.19951650984126446,feature_dormie_sodden_steed
1076,0.19451683453059077,feature_dysuric_permeated_makeweight
797,0.19407964565516858,feature_galactopoietic_luckiest_protecting
651,0.19389113750685866,feature_goidelic_gobelin_ledge
1054,0.19363457468795295,feature_warmish_unspiritualizing_desideratum
1079,0.19359721966293245,feature_endoplasmic_inwrought_percival
994,0.19357572932918043,feature_comely_typal_softie
166,0.19288771565109378,feature_affettuoso_taxidermic_greg
825,0.19115566150919505,feature_revitalizing_rutilant_swastika
965,0.1906159099783787,feature_herpetologic_unjoyful_lodgepole
1168,0.19001026499078602,feature_third_discreet_solute
3,0.18970980237233248,feature_genuine_kyphotic_trehala
613,0.18872540746703018,feature_disprovable_topmost_burrower
57,0.18790417112153965,feature_rose_buttoned_dandy
84,0.18586747926397515,feature_pruinose_raploch_roubaix
398,0.184143603240038,feature_manufactured_nodal_seeking
755,0.18297782976587187,feature_disintegrable_snakier_zion
723,0.180940136286877,feature_unreachable_neritic_saracen
136,0.17760252806787774,feature_urticant_ultracentrifugal_wane
626,0.17718802909760073,feature_corporatist_seborrheic_hopi
186,0.17651789896629472,feature_rival_undepraved_countermarch
645,0.17455339192994276,feature_asteriated_invigorated_penitence
562,0.17312941749497765,feature_unventilated_sollar_bason
748,0.17186563655691925,feature_cnidarian_micrologic_sousaphone
172,0.1712815314073361,feature_bustled_fieriest_doukhobor
127,0.1698342998977342,feature_confusable_pursy_plosion
101,0.16928277219483345,feature_coraciiform_sciurine_reef
886,0.1692196909770741,feature_improbable_pouched_gaitskell
648,0.16916044194259552,feature_lacerable_backmost_vaseline
632,0.16849926125054973,feature_binding_lanky_rushing
194,0.16676479069778719,feature_received_veiniest_tamarix
5,0.16668500973210562,feature_divulsive_explanatory_ideologue
1017,0.16548590720054437,feature_gravettian_groveling_crooning
4,0.1642172860094683,feature_unenthralled_sportful_schoolhouse
646,0.16328018897430102,feature_anucleate_knotted_nonage
614,0.1631424544693231,feature_weedier_indistinctive_haranguer
775,0.16306229294840027,feature_ecstatic_foundational_crinoidea
802,0.16127961902509808,feature_phantasmal_extenuative_britain
27,0.16100512909032788,feature_midmost_perspiratory_hubert
1098,0.16091074772420838,feature_stockish_overland_potentiation
687,0.160892210729496,feature_productile_auriform_fil
347,0.16036678077264352,feature_untinned_dextrogyrate_fining
658,0.15912781388597053,feature_amoroso_wimpish_maturing
591,0.15661656346885364,feature_mediative_sufferable_serosity
227,0.1560841772741667,feature_subfusc_furriest_nervule
1058,0.15602285733117757,feature_cavitied_alleviatory_neuk
765,0.1557103295445743,feature_genoese_uncreditable_subregion
835,0.1546582102865425,feature_unappreciated_humiliated_misapprehension
18,0.15435728499389267,feature_floatiest_quintuplicate_carpentering
1077,0.15332725204993125,feature_wordiest_babist_stackyard
221,0.1526704813306727,feature_battled_premillennial_omelette
521,0.15176176945581638,feature_unperched_forgetive_vasoconstrictor
