,feature_importance,feature_names
0,2.7599555713568424,pca0
1,2.0470256157456705,pca1
2,1.9773300340930793,pca2
3,1.5881532425381064,pca3
8,1.3437923261690403,pca8
4,1.3164980359042686,pca4
10,1.1961885778540569,pca10
12,1.1524969485191283,pca12
5,1.088497445368958,pca5
6,1.0674266527877578,pca6
11,0.9301029695218195,pca11
17,0.8447550223288035,pca17
38,0.7960991463385726,pca38
25,0.7118170674896855,pca25
64,0.6983734066596958,pca64
13,0.6872115873514831,pca13
15,0.682461576154393,pca15
66,0.6469566895592447,pca66
93,0.6304907240599245,pca93
21,0.6248251805967938,pca21
70,0.6138915987125586,pca70
126,0.6121466421578959,pca126
94,0.6085644002278606,pca94
125,0.6044384542168643,pca125
80,0.5944279485823613,pca80
23,0.5919042581364747,pca23
131,0.5905887101797352,pca131
97,0.5862953470563101,pca97
59,0.5854918207584549,pca59
57,0.5831482354871991,pca57
203,0.579913797276312,pca203
76,0.570759229486367,pca76
67,0.5582226220124553,pca67
51,0.5578758356113266,pca51
55,0.546991425653296,pca55
88,0.5469580141752813,pca88
36,0.5357097661607676,pca36
157,0.5356325196255183,pca157
24,0.5327605768971426,pca24
142,0.5288234448522903,pca142
29,0.526874998145596,pca29
91,0.5228324011751575,pca91
9,0.5156981141732258,pca9
63,0.5082888428409887,pca63
72,0.5060767591648925,pca72
108,0.5052044906204363,pca108
154,0.5027380823259043,pca154
48,0.5004606789955754,pca48
7,0.49951505904467647,pca7
119,0.4864635468060268,pca119
18,0.48543988410696587,pca18
34,0.4701272553585526,pca34
50,0.46753403128098636,pca50
27,0.4622579250504737,pca27
113,0.46002918196964426,pca113
22,0.45092156336650424,pca22
58,0.45014954646262306,pca58
14,0.44648297039839474,pca14
204,0.44130915868337195,pca204
31,0.4303247181374877,pca31
82,0.42958438474499316,pca82
35,0.42779737216127356,pca35
95,0.42569682610946097,pca95
16,0.42335175619546306,pca16
214,0.4189682503851554,pca214
229,0.4172503869515914,pca229
184,0.4152648620363462,pca184
47,0.40686820326576484,pca47
90,0.4062224867641795,pca90
156,0.40573255740854963,pca156
30,0.40386392136364613,pca30
188,0.39988358208902086,pca188
224,0.3962187549464136,pca224
169,0.39176145847145166,pca169
19,0.38732828519528717,pca19
150,0.3872167650678129,pca150
153,0.3817047897034234,pca153
106,0.37983921178435215,pca106
174,0.3788826925725662,pca174
232,0.3785840099029083,pca232
159,0.3722243863289823,pca159
173,0.37198351978445293,pca173
74,0.37195373632518514,pca74
75,0.3708988550284767,pca75
124,0.36990532585630154,pca124
181,0.3684537440044158,pca181
83,0.3658116903660069,pca83
114,0.36226241150506705,pca114
115,0.3618481031795024,pca115
46,0.36162533622561926,pca46
195,0.35716365768847713,pca195
85,0.3559076623668536,pca85
28,0.35554530065971873,pca28
61,0.3551713314375636,pca61
227,0.34880574910421125,pca227
104,0.34676685653437134,pca104
71,0.34600531815212393,pca71
20,0.34533554681897427,pca20
141,0.34390074288584604,pca141
274,0.34341885720478965,pca274
102,0.3432378868167187,pca102
87,0.3419746785266714,pca87
183,0.33924188796992116,pca183
60,0.33878354899873436,pca60
210,0.3375390236848155,pca210
140,0.33370420272066964,pca140
136,0.3332156290525651,pca136
135,0.3327829199075443,pca135
128,0.3295625282236541,pca128
79,0.3267881012246797,pca79
198,0.32630541171813754,pca198
78,0.323322426290628,pca78
56,0.3229623136742051,pca56
264,0.3214250366247872,pca264
200,0.32131948302297836,pca200
177,0.3212150264026838,pca177
259,0.3203228966829824,pca259
84,0.31939018973357897,pca84
52,0.31841639828340274,pca52
166,0.31733397474289027,pca166
98,0.3168153376143842,pca98
68,0.31524096914964345,pca68
161,0.31345161372065034,pca161
217,0.31056209374338517,pca217
235,0.310481274405528,pca235
211,0.3082895000667241,pca211
117,0.3014548716156222,pca117
160,0.30140889871604726,pca160
182,0.30132750998337365,pca182
26,0.2998068513530421,pca26
105,0.2998052405969376,pca105
96,0.29829355971645855,pca96
222,0.2979824589125712,pca222
86,0.2938815165532032,pca86
206,0.29375820793770446,pca206
148,0.2929643906961984,pca148
147,0.292610605541449,pca147
221,0.29208415475727695,pca221
43,0.289495381592966,pca43
111,0.2865594400736373,pca111
146,0.2827793559931011,pca146
32,0.28239728530528624,pca32
252,0.2819810781729267,pca252
53,0.2816375898198985,pca53
298,0.2801641194685445,pca298
208,0.27724067469403124,pca208
212,0.2764294125310823,pca212
42,0.27624651497014946,pca42
202,0.275760033839636,pca202
81,0.2730988291753485,pca81
143,0.2723358535355341,pca143
185,0.2702110668367006,pca185
225,0.2696922327803216,pca225
201,0.26860021762857444,pca201
116,0.26690224745761554,pca116
266,0.2658775544022708,pca266
209,0.2649673991709126,pca209
103,0.26414007393259287,pca103
245,0.26236025196371854,pca245
62,0.2622913375446337,pca62
285,0.26221188652143435,pca285
120,0.2602388730224644,pca120
168,0.2585976409759131,pca168
33,0.2574934053660814,pca33
276,0.25285704962126354,pca276
132,0.2515192676660702,pca132
196,0.25054617995020767,pca196
207,0.24856315757027347,pca207
199,0.24793254790128255,pca199
236,0.24721343941767918,pca236
270,0.24494248879991418,pca270
237,0.242440371629184,pca237
265,0.24219671573004362,pca265
288,0.23973463036852616,pca288
249,0.2392562773537386,pca249
110,0.23787820301723073,pca110
240,0.2373916980659056,pca240
253,0.2360481792455517,pca253
170,0.23517417023489431,pca170
49,0.23430369754636585,pca49
127,0.2335908299373503,pca127
145,0.2320260436009358,pca145
223,0.23189098638711725,pca223
37,0.231550339713428,pca37
149,0.23009869794238738,pca149
40,0.22901813219653977,pca40
99,0.226639242200092,pca99
77,0.225110231101844,pca77
152,0.22473800060919666,pca152
122,0.22471756010024274,pca122
295,0.22425370413611762,pca295
155,0.2239915535796367,pca155
215,0.22162094755357714,pca215
45,0.22159012439545508,pca45
216,0.21782245689978194,pca216
139,0.21479207480449,pca139
189,0.2133921402266515,pca189
151,0.21201222862028735,pca151
241,0.21197700179836,pca241
251,0.2107915968001914,pca251
175,0.21054430745163938,pca175
193,0.21052912736972462,pca193
172,0.20906221592960753,pca172
190,0.20824937079704853,pca190
73,0.2075201100097163,pca73
158,0.20341865299100031,pca158
279,0.20176093269149883,pca279
179,0.20144037852273824,pca179
54,0.19833030026572313,pca54
178,0.19766595974182957,pca178
191,0.19320286823875604,pca191
262,0.1920181261418095,pca262
213,0.1915964725778597,pca213
107,0.1897370536094667,pca107
176,0.18813077243450677,pca176
226,0.18599958211987141,pca226
65,0.18543975940730306,pca65
273,0.18510051754372586,pca273
248,0.18358281789284267,pca248
41,0.18211203752853203,pca41
186,0.18130014815006998,pca186
92,0.1800473233433136,pca92
260,0.17939200006830833,pca260
192,0.17741309199275032,pca192
291,0.174793873620536,pca291
129,0.17378601056083223,pca129
271,0.17224708950586315,pca271
101,0.17042538181999048,pca101
230,0.17001172734343786,pca230
239,0.16682312483147915,pca239
44,0.1656226703698991,pca44
194,0.164338342250409,pca194
255,0.16286016871467865,pca255
123,0.15919058840637149,pca123
121,0.15915401313109515,pca121
280,0.15884906046994846,pca280
118,0.1555440026157837,pca118
219,0.1543457832859763,pca219
162,0.15429064041878957,pca162
134,0.15426920229615423,pca134
256,0.15349146418718837,pca256
268,0.15250266357206152,pca268
180,0.1524852078964336,pca180
297,0.1515599690583659,pca297
281,0.14943584548932154,pca281
242,0.14841351936087321,pca242
272,0.14610485440847093,pca272
231,0.1456807323803725,pca231
165,0.14395847768429926,pca165
133,0.14311384578564196,pca133
277,0.13970973287036076,pca277
89,0.13910371872944186,pca89
258,0.13710771811185968,pca258
69,0.13669731325659812,pca69
247,0.13454035825502228,pca247
243,0.1322806096542439,pca243
228,0.13082102858426609,pca228
137,0.13045963101591612,pca137
187,0.12757171175583976,pca187
130,0.1273227530891204,pca130
238,0.12476501201628068,pca238
205,0.1245228239152978,pca205
164,0.12196958932261294,pca164
