,feature_importance,feature_names
0,2.8427843686360497,pca0
2,2.6707179175796694,pca2
1,2.548644718114363,pca1
3,1.709660631138624,pca3
4,1.5397740462679375,pca4
10,1.3793969883991224,pca10
8,1.3269693969725396,pca8
5,1.3248893484018465,pca5
6,1.2670140527744433,pca6
11,1.1107662638343088,pca11
15,1.1107489752209267,pca15
13,1.014224836396857,pca13
12,0.990701493380019,pca12
38,0.961196337160718,pca38
17,0.910358861421613,pca17
7,0.8384941265492168,pca7
18,0.7046913774644384,pca18
14,0.6986632564892749,pca14
9,0.6908476910073228,pca9
55,0.6446758607961032,pca55
70,0.6424433751363204,pca70
23,0.6184277400063585,pca23
21,0.6132091982480001,pca21
16,0.6075525710670654,pca16
29,0.5873053464019911,pca29
30,0.533243267745544,pca30
51,0.5295240412387161,pca51
93,0.5271700902628641,pca93
19,0.524577942372488,pca19
56,0.5180511987253515,pca56
131,0.5161931882511589,pca131
28,0.5045799367934507,pca28
52,0.5022150150821764,pca52
113,0.5002526153048982,pca113
27,0.4995215922342541,pca27
119,0.49034300188943614,pca119
24,0.48857682062301455,pca24
80,0.47947762364068713,pca80
57,0.4775695458203128,pca57
64,0.4769465063563389,pca64
142,0.4727043509637565,pca142
36,0.4701209945904149,pca36
94,0.45425677286984867,pca94
125,0.45151934093860935,pca125
63,0.4510060763613177,pca63
59,0.4487091615471214,pca59
20,0.4459382684447688,pca20
25,0.44033049211479847,pca25
156,0.4390596244454533,pca156
91,0.4389740638352875,pca91
60,0.43610133490117703,pca60
154,0.435731586523412,pca154
77,0.43336595950895934,pca77
227,0.43136273442340256,pca227
88,0.4303462972168901,pca88
48,0.4301478526633581,pca48
105,0.4299401013617074,pca105
66,0.42980761025706304,pca66
22,0.426304609596583,pca22
67,0.4253536398083856,pca67
50,0.4243323249985073,pca50
76,0.4139840019134044,pca76
128,0.41320551577405756,pca128
31,0.41124930910082047,pca31
95,0.40774669089446536,pca95
97,0.4038271546967308,pca97
34,0.39800873671942594,pca34
115,0.3948798893758958,pca115
58,0.39413553050591105,pca58
71,0.392004615604679,pca71
72,0.39132087578264624,pca72
169,0.38949482672666075,pca169
203,0.3878745327318386,pca203
126,0.38559710219249294,pca126
173,0.38403893441700604,pca173
45,0.38390905882756027,pca45
116,0.38006444503631304,pca116
61,0.3788126800646473,pca61
37,0.37858778955690975,pca37
98,0.378277355127915,pca98
85,0.37695422490440567,pca85
35,0.37612147072437285,pca35
114,0.3759701643257074,pca114
201,0.3750700364874156,pca201
157,0.37382756924535293,pca157
108,0.3722790710941034,pca108
49,0.36870655072716374,pca49
153,0.36815001797874614,pca153
78,0.3672807584230607,pca78
86,0.36571066884812736,pca86
106,0.3644838362498167,pca106
68,0.36398534568932134,pca68
104,0.36360994220459486,pca104
54,0.357747706360014,pca54
32,0.3517356077293711,pca32
90,0.3514169620700493,pca90
175,0.348280507435893,pca175
124,0.3380723114896305,pca124
84,0.3352785935120782,pca84
43,0.3342763787243479,pca43
214,0.3340329930089298,pca214
195,0.33224403617521653,pca195
53,0.3315035238017168,pca53
211,0.3315001617532602,pca211
74,0.32920775423599163,pca74
62,0.32830400513548985,pca62
225,0.3265519565084801,pca225
206,0.3252036930904025,pca206
96,0.32466589430301596,pca96
92,0.3206675553758942,pca92
135,0.3201669437247149,pca135
75,0.31917977183473456,pca75
33,0.31866153186867074,pca33
83,0.31845922236397656,pca83
182,0.3176464658249966,pca182
204,0.31666974391656516,pca204
46,0.3150529051281393,pca46
41,0.31409070042144466,pca41
117,0.3133489923664137,pca117
102,0.311885484321696,pca102
42,0.3112224217429955,pca42
87,0.31094982161184237,pca87
99,0.30992031861213803,pca99
26,0.3075577075286341,pca26
107,0.30506940435774704,pca107
79,0.3044661330931116,pca79
174,0.3027252607781104,pca174
223,0.2996098069390601,pca223
81,0.2975019537515758,pca81
140,0.29738657021155873,pca140
217,0.29582484972733075,pca217
224,0.2941238207635598,pca224
103,0.2918546248400249,pca103
166,0.2908432254574257,pca166
150,0.2903419039981989,pca150
229,0.2845867872998406,pca229
209,0.2844074991199071,pca209
200,0.27800299135292506,pca200
188,0.27601681910222353,pca188
152,0.2754444303329546,pca152
130,0.27372093610783876,pca130
120,0.2724746048210231,pca120
221,0.27224033679108633,pca221
179,0.2718239727236097,pca179
177,0.27046797125928246,pca177
47,0.26758458604017427,pca47
82,0.26680766029628405,pca82
44,0.2656773782811996,pca44
127,0.2635779983249287,pca127
149,0.2634792979533216,pca149
132,0.26325513661189753,pca132
141,0.2612726492841871,pca141
158,0.26069407882799384,pca158
159,0.2588610338512631,pca159
210,0.2579617200848379,pca210
232,0.25696414715201255,pca232
144,0.25640728738779145,pca144
147,0.25618174111101033,pca147
208,0.2470688253533241,pca208
172,0.24410933949418898,pca172
181,0.24110873632753935,pca181
202,0.24004669243412488,pca202
184,0.2381273848119699,pca184
252,0.23547560464110148,pca252
198,0.23542663434787653,pca198
137,0.23507902455299912,pca137
212,0.23096675070475078,pca212
122,0.22856345619226864,pca122
222,0.2275902790175608,pca222
192,0.22758462345130046,pca192
73,0.2255030517509522,pca73
148,0.2245032010292954,pca148
245,0.22421286432439977,pca245
277,0.22219773763463982,pca277
110,0.21952287434470993,pca110
235,0.2186065564067361,pca235
167,0.21784470576477383,pca167
226,0.2166096478411391,pca226
236,0.21275370095906362,pca236
121,0.21177010631784754,pca121
185,0.21154260229527566,pca185
193,0.211362447926087,pca193
176,0.2108886331925264,pca176
136,0.21044184734733584,pca136
161,0.20861875776565414,pca161
183,0.20786070060559278,pca183
178,0.20707810173914926,pca178
40,0.20599734278978266,pca40
170,0.2033561493981069,pca170
139,0.2022059248373367,pca139
213,0.19788515818715646,pca213
294,0.19689093583719883,pca294
143,0.1959222533657944,pca143
111,0.1944372976689769,pca111
101,0.193684562400641,pca101
118,0.1913372391714929,pca118
295,0.19117827780536142,pca295
39,0.191114439740725,pca39
216,0.1892780715859454,pca216
199,0.18871209147382623,pca199
112,0.18848682398619762,pca112
231,0.18685723848308058,pca231
278,0.1857303835390632,pca278
65,0.18533182814079688,pca65
146,0.18368969419979636,pca146
190,0.18224075750948604,pca190
189,0.18056398098121543,pca189
281,0.17840113388124385,pca281
259,0.17739229026257625,pca259
228,0.17737694914446175,pca228
160,0.1754467490715475,pca160
219,0.17473133009931482,pca219
238,0.17390735190367795,pca238
194,0.17352512519168076,pca194
247,0.17172833230064802,pca247
109,0.17149589348744768,pca109
191,0.17086196600633013,pca191
171,0.167899636549772,pca171
134,0.16782912139779033,pca134
230,0.16703213192667876,pca230
233,0.16684191116667207,pca233
164,0.16548284833002003,pca164
253,0.16495565663638423,pca253
240,0.16359922428234788,pca240
196,0.16355390287926205,pca196
89,0.1632049044909029,pca89
69,0.16217813915020532,pca69
268,0.16100111969536063,pca268
241,0.16034014008974865,pca241
254,0.15830465639573163,pca254
186,0.15687775736596174,pca186
151,0.15595313092595692,pca151
234,0.1545554449620563,pca234
286,0.15352276059056896,pca286
155,0.15302018310139584,pca155
197,0.15120102901491767,pca197
145,0.15101457498027532,pca145
168,0.15040091186415336,pca168
260,0.15026795563346057,pca260
275,0.14719999066338452,pca275
249,0.14705538780992303,pca249
282,0.1459226754505848,pca282
207,0.14336938845344685,pca207
251,0.14280999733723107,pca251
291,0.14090926843018586,pca291
285,0.14001830884086514,pca285
274,0.13756739693338643,pca274
248,0.13748650286998265,pca248
258,0.13615179815946976,pca258
215,0.13613875334710757,pca215
262,0.13576536507895526,pca262
265,0.13444046129684992,pca265
