,feature_importance,feature_names
417,0.22025080089151564,pca417
306,0.22018807290307235,pca306
122,0.2184336224441976,pca122
356,0.21832093425560858,pca356
164,0.21826072324457613,pca164
41,0.21822965798694613,pca41
30,0.2177163313277832,pca30
278,0.21697685061280514,pca278
156,0.21677843173689157,pca156
211,0.21612844617787436,pca211
184,0.215803020072888,pca184
62,0.21525561862779016,pca62
237,0.21514075475066613,pca237
259,0.215094660909088,pca259
73,0.2149514477387818,pca73
207,0.21485480237381444,pca207
256,0.21390613430813368,pca256
154,0.21345322518291887,pca154
395,0.21294842740078798,pca395
240,0.21288153820738212,pca240
370,0.2126410885755659,pca370
233,0.21214002976545443,pca233
229,0.21206491036659697,pca229
137,0.2116437254768508,pca137
213,0.21155017742817853,pca213
9,0.2113616622172921,pca9
287,0.2112291794471178,pca287
200,0.2108678003066637,pca200
125,0.2107016442274107,pca125
89,0.2105600651450786,pca89
340,0.2102392973249969,pca340
234,0.20983258997946813,pca234
144,0.20980512309416097,pca144
266,0.2096186082936092,pca266
318,0.20940497390892457,pca318
376,0.20922484554640672,pca376
46,0.2090112814628181,pca46
295,0.2088017395859125,pca295
281,0.20855151122636925,pca281
258,0.20820387907656565,pca258
111,0.207073961070915,pca111
198,0.20702402979098602,pca198
187,0.2069127060649988,pca187
69,0.20652890945521493,pca69
63,0.20625006023607587,pca63
195,0.20588132024322328,pca195
179,0.20580910492716473,pca179
294,0.20579126463571026,pca294
171,0.20555426012193104,pca171
251,0.20523499426085703,pca251
139,0.20399909372787395,pca139
109,0.20371996302504336,pca109
397,0.20359150820094077,pca397
172,0.20343494235423,pca172
389,0.20301227227191446,pca389
221,0.20197189450069825,pca221
261,0.20111068181197184,pca261
191,0.20001253159023796,pca191
214,0.19975719497833827,pca214
381,0.19902136746218219,pca381
272,0.1988809385406893,pca272
230,0.19850576974937348,pca230
403,0.1982791844070418,pca403
225,0.1981871749507564,pca225
218,0.1981370121967384,pca218
188,0.19812401965551033,pca188
405,0.19806650031186318,pca405
338,0.19805776794025598,pca338
343,0.19791959303570394,pca343
419,0.1977861593259423,pca419
223,0.19742275475196452,pca223
314,0.19742116951206812,pca314
327,0.1972608086103498,pca327
141,0.1972544354275667,pca141
124,0.19613459769950362,pca124
264,0.19608349609756012,pca264
365,0.19518629762025017,pca365
143,0.194692913800597,pca143
307,0.19459671721977745,pca307
284,0.19436886312651216,pca284
204,0.1941293851266546,pca204
359,0.19390514682088245,pca359
138,0.1933837370720819,pca138
254,0.19319467810020663,pca254
14,0.19297893576466363,pca14
166,0.19287677869583245,pca166
56,0.19283641339564042,pca56
299,0.19274579323277477,pca299
268,0.19265841855962684,pca268
415,0.1921684928476216,pca415
331,0.19208603228213453,pca331
129,0.1918974163498376,pca129
337,0.191533513292409,pca337
293,0.19123117627301384,pca293
342,0.19060570140176178,pca342
411,0.19055548863826585,pca411
310,0.18990377695148408,pca310
332,0.18948678741259287,pca332
201,0.18935319613231955,pca201
382,0.18913505188341878,pca382
118,0.188581320326357,pca118
292,0.1881061965093695,pca292
231,0.18794548473381478,pca231
53,0.18767195120616526,pca53
83,0.1876694661647498,pca83
384,0.1875912487366958,pca384
47,0.18712061899885707,pca47
128,0.1867330506489445,pca128
182,0.18661544812775724,pca182
404,0.18601265777687215,pca404
44,0.1859963661598708,pca44
52,0.18580486599357462,pca52
392,0.1851334056458868,pca392
416,0.18491598277071342,pca416
406,0.1848764410643165,pca406
219,0.1847922233405123,pca219
